Income,Age,LoanAmount,CreditScore,EmploymentYears,Approved
50000,25,200000,750,3,Yes
30000,30,300000,600,5,No
70000,35,250000,780,8,Yes
25000,22,150000,550,1,No
60000,40,350000,720,10,Yes
45000,28,180000,680,4,Yes
20000,24,250000,500,2,No
80000,45,400000,800,15,Yes
35000,29,300000,620,3,No
55000,32,220000,710,6,Yes
28000,26,280000,580,2,No
90000,50,500000,820,20,Yes
40000,31,200000,650,5,Yes
22000,23,180000,520,1,No
65000,38,300000,760,9,Yes
32000,27,250000,590,3,No
75000,42,350000,790,12,Yes
27000,25,200000,560,2,No
50000,34,250000,700,7,Yes
24000,21,150000,510,1,No
