Area,Bedrooms,Bathrooms,Age,Price
800,2,1,20,160000
900,2,1,18,175000
1000,2,1,15,190000
1100,2,2,14,220000
1200,3,2,12,245000
1300,3,2,10,270000
1400,3,2,9,290000
1500,3,2,8,315000
1600,3,2,7,340000
1700,3,2,6,365000
1800,3,2,5,390000
1900,3,2,5,410000
2000,4,3,4,450000
2100,4,3,4,475000
2200,4,3,3,510000
2300,4,3,3,535000
2400,4,3,2,560000
2500,4,3,2,590000
2600,4,3,1,620000
2700,4,3,1,645000
2800,5,3,5,700000
2900,5,3,4,730000
3000,5,3,3,760000
3100,5,4,2,810000
3200,5,4,1,850000
1000,2,1,22,195000
1250,3,2,11,255000
1450,3,2,9,305000
1650,3,2,8,350000
1850,3,2,6,405000
2050,4,3,5,465000
2250,4,3,4,500000
2450,4,3,3,575000
2650,4,3,2,625000
2850,5,3,6,720000
3050,5,4,3,785000
1150,2,1,16,215000
1350,3,2,12,280000
1550,3,2,10,325000
1750,3,2,7,380000
1950,4,3,6,440000
2150,4,3,5,485000
2350,4,3,4,545000
2550,4,3,3,600000
2750,5,3,7,675000
2950,5,3,5,710000
3150,5,4,4,790000
3350,5,4,2,850000
3500,5,4,1,900000
3700,5,4,1,960000
